Licensed_Beds,Staffed_Beds
0.5498466257668713,0.6738721804511277
0.0567484662576687,0.062030075187969914
0.0030674846625766868,0.0037593984962406013
0.20168711656441718,0.2471804511278195
0.2361963190184049,0.2838345864661654
0.035276073619631906,0.03101503759398496
0.31288343558282206,0.23026315789473684
0.16257668711656442,0.19924812030075187
0.1334355828220859,0.16353383458646614
0.0843558282208589,0.10338345864661652
0.00920245398773006,0.011278195488721804
0.11426380368098159,0.09962406015037592
0.0,0.0
0.42484662576687116,0.5206766917293233
0.22776073619631904,0.2791353383458646
0.13266871165644173,0.162593984962406
0.13266871165644173,0.162593984962406
0.20245398773006137,0.15977443609022554
0.1449386503067485,0.11560150375939848
0.11119631901840492,0.12124060150375937
1.0,0.9999999999999999
1.0,0.9999999999999999
0.09892638036809816,0.12124060150375937
0.13573619631901843,0.1663533834586466
0.11503067484662576,0.14097744360902253
0.17407975460122702,0.20112781954887216
0.12883435582822086,0.10056390977443608
0.27530674846625763,0.33740601503759393
0.36196319018404904,0.44360902255639095
0.09432515337423313,0.10808270676691728
0.2200920245398773,0.26973684210526316
0.002300613496932516,0.002819548872180451
0.0843558282208589,0.10338345864661652
0.021472392638036807,0.02631578947368421
0.26993865030674846,0.1889097744360902
0.26993865030674846,0.1889097744360902
0.6664110429447854,0.7866541353383458
0.0030674846625766868,0.0037593984962406013
0.09509202453987729,0.10526315789473684
0.3174846625766871,0.2622180451127819
0.07285276073619631,0.03571428571428571
0.09969325153374232,0.10808270676691728
0.17561349693251535,0.15037593984962405
0.04907975460122699,0.03665413533834586
0.06365030674846625,0.07800751879699247
0.06365030674846625,0.07800751879699247
0.06365030674846625,0.07800751879699247
